time	line	meanprop_ATAC	meanprop_k27	meanprop_k4	meanprop_RNA	padj_ATAC	padj_k27	padj_k4	padj_RNA
24h	vgn307	0.469414346454533	0.486751560059213	0.488730979041057	0.47718253968254	0.691147666973005	1	1	0.765930032014715
24h	vgn712	0.515826278984174	0.520314438000737	0.48145411556081	0.564112903225806	0.894631696108039	0.987946068929215	1	0.580067411914358
24h	vgn057	0.490668614086336	0.434865758562827	0.879166666666667	0.484969053934571	0.908247469200257	0.836597314144406	5.18758668126864e-05	0.908549319333542
24h	vgn307	0.499546582665139	0.48877394018059	0.444906231094979	0.478276365083049	0.982479181512456	1	0.929016287718379	0.669556735349571
24h	vgn307	0.494367310817085	0.507891560476832	0.548223254408821	0.493275862068966	1	1	0.966692576077006	0.950369763813125
24h	vgn028	0.515092995235561	0.520487249789438	0.49656250972581	0.930212915042111	0.843220233558295	0.985613401015897	1	0
24h	vgn307	0.438492063492063	0.483132669057702	0.376415094339623	0.508361204013378	0.560421324124237	0.996504181434832	0.306076230641861	0.963408065761185
24h	vgn057	0.430650128595065	0.507602862254025	0.304905034113959	0.438594164456233	0.0491746966105474	1	0.0368409082942251	0.0967275744096133
24h	vgn399	0.486906803887936	0.49333479020979	0.582283407111933	0.541666666666667	0.887219843489563	1	0.888389425027498	0.831109829193781
24h	vgn712	0.550326856493204	0.54528885210658	0.471217591073187	0.574806748912763	0.915282781141864	0.89696208472686	1	0.00661076171256104
24h	vgn028	0.564227642276423	0.520711218702413	0.528918407932235	0.962324350201346	0.498258579050057	0.986657376129088	1	0
24h	vgn057	0.538899430740038	0.549685534591195	0.418859649122807	0.505016722408027	0.865570151501276	0.913515855051489	0.614761979884879	0.853969069461052
24h	vgn712	0.560224608169814	0.506594460653051	0.598484848484849	0.511007462686567	0.338620756007772	1	0.757699089974815	0.786329801226991
24h	vgn057	0.506975459454412	0.368102397399431	0.697293447293447	0.511184755592378	0.948473364806387	0.347958063499042	0.152767168332241	0.972693677639694
24h	vgn399	0.524979854955681	0.559212210418533	0.466074526665158	0.495397286821705	0.871045111348544	0.840003627045446	0.989985244005423	0.973959564732265
24h	vgn639	0.471866447728517	0.35090622537431	0.567533850927237	0.516701023056955	0.677738074541708	0.228573350694167	0.842414692861733	0.8039310308736
24h	vgn399	0.418931583880037	0.492703475251993	0.49005049005049	0.566315789473684	0.505377914917819	1	1	0.486661924996684
24h	vgn028	0.469302730172295	0.5140637250196	0.525569842197545	0.458090094589954	0.670247421153902	1	1	0.324626066102051
24h	vgn307	0.558705132505871	0.553796451914099	0.469525369389462	0.468280632411067	0.334112451754345	0.856561046930262	1	0.680577147958809
24h	vgn712	0.528818817428347	0.533447368061208	0.463825551936301	0.499554229295609	0.601002183036569	0.94818913907771	1	1
24h	vgn028	0.520037626299486	0.6473113964687	0.516201746970978	0.592592592592593	0.807811071709529	0.273266625181717	1	0.434362330274764
24h	vgn028	0.501169125426546	0.556096225143242	0.586244194491937	0.520554812834225	1	0.836556571860228	0.656720066742904	0.693796847557404
24h	vgn028	0.508591557362965	0.499091666861652	0.47716658017644	0.514983462281698	0.92812562452512	1	1	0.730780204441913
24h	vgn639	0.5	0.493573429686068	0.621266129607186	0.501184834123223	1	1	0.484833160705286	0.993884130655851
24h	vgn307	0.503478636963767	0.483406342954022	0.551277983069411	0.499200611297243	1	0.996988438814543	0.933542751138368	0.993522575318226
24h	vgn639	0.518092801354315	0.463761429410284	0.491666666666667	0.516574644752611	1	0.950025707709684	1	0.644422213074836
24h	vgn057	0.407142857142857	0.498094660194175	0.49121503944268	0.499819841460485	0.399754818007762	1	1	0.905874695912957
24h	vgn399	0.494055684251934	0.492110982607287	0.476041666666667	0.707386363636364	0.992323572110415	1	1	0.0212412887864336
24h	vgn712	0.51261459942685	0.456712419814503	0.362082777036048	0.351190476190476	0.932822968358515	0.89346245355473	0.417065108556788	0.186541207854325
24h	vgn307	0.495351104205531	0.467549433295717	0.398418059011731	0.516591206315362	0.997529138286102	0.953235863142883	0.741113163920443	0.734376374315262
24h	vgn028	0.514239176124422	0.488538161259927	0.475604480123059	0.390547263681592	0.897810854307373	1	1	0.131679899577628
24h	vgn057	0.539618587160892	0.544058400747736	0.417860962566845	0.546875	0.734535047905363	0.931789939018807	0.741431070186095	0.750203612057779
24h	vgn712	0.49960668633235	0.600925925925926	0.464935991413163	0.572555043522786	0.991608877278966	0.672726047068059	1	0.311733216194555
24h	vgn028	0.500785685320357	0.292401960784314	0.717253989361702	0.507060333761232	1	0.0884643913305191	0.0370699199042608	0.923823766598834
24h	vgn307	0.507894032646508	0.439567120622568	0.618217054263566	0.568910256410256	0.993396761198289	0.813287372869663	0.445444852466176	0.573350831843817
24h	vgn057	0.469458659442103	0.450080192461909	0.370738636363636	0.449045280960175	0.646777596940871	0.953785026125578	0.653967220039337	0.376063703392669
24h	vgn028	0.616927181026218	0.628637260010831	0.686489221844285	0.762428048142334	2.64841234500265e-05	0.272178302026087	0.0291840195178528	5.63139629922459e-05
24h	vgn712	0.512450653617947	0.53454333295283	0.537359483377182	0.615542521994135	0.852109723504404	0.943411028814241	0.998814586851552	0.0603986694743749
24h	vgn307	0.51697633184026	0.514615592214013	0.452927997419463	0.538068181818182	0.812365446753898	1	0.964282091069929	0.430834027176364
24h	vgn057	0.529811321683243	0.578788858200623	0.671292487551418	0.443170405088718	0.539796541455101	0.737303523927935	0.0632712509359533	0.660931313214746
24h	vgn399	0.561720498880716	0.557433713211312	0.501292503479817	0.623070504797664	0.382502712176277	0.828430464618661	1	0.0296987019460425
24h	vgn028	0.514508928571429	0.56301191362621	0.701948051948052	0.5475	0.939099067545135	0.812439642434544	0.0437106973438727	0.672984448827351
24h	vgn057	0.512784349408553	0.393178410794603	0.466689500695894	0.447704081632653	0.956136956285908	0.827615641363866	1	0.58501119099088
24h	vgn307	0.497497992729261	0.482307692307692	0.510584677419355	0.458041958041958	0.991752018353067	0.994168971938462	1	0.675463542497687
24h	vgn399	0.460494610019023	0.463374758171348	0.409466019417476	0.519075576665127	0.74524620735342	0.935565378271164	0.741113163920443	0.703094184951001
24h	vgn307	0.527121010216384	0.509349230004968	0.504991434958917	0.453838501077765	0.730193028125657	1	1	0.242550995791583
24h	vgn639	0.588624338624339	0.512990196078431	0.393397887323944	0.45	0.141775575426388	1	0.557908091527709	0.485857622440891
24h	vgn307	0.561792093704246	0.477638858580542	0.617383512544803	0.638235294117647	0.195647047559235	0.986657376129088	0.42908047636145	0.13134049845275
24h	vgn057	0.48481114374396	0.467945463295803	0.348307065916489	0.473332257297986	0.827941418109832	0.952611166528064	0.179428129704738	0.551067585371333
24h	vgn057	0.484509426389236	0.457272727272727	0.495182806324111	0.486844758064516	0.841597023336373	0.922122959663406	1	0.916809670639056
24h	vgn399	0.541034897713598	0.493827160493827	0.486432957021192	0.507394366197183	0.55647373744318	1	1	0.933969961173074
